Bandit,Reward,Algorithm
3,4.834266189356481,EpsilonGreedy
1,-0.001954318487078277,EpsilonGreedy
3,5.64900735073968,EpsilonGreedy
4,3.869269993847151,EpsilonGreedy
3,1.0941839172443901,EpsilonGreedy
4,1.9111431521658124,EpsilonGreedy
3,3.816902759756518,EpsilonGreedy
3,3.819090026500758,EpsilonGreedy
3,2.2135316013131905,EpsilonGreedy
3,2.234804128078244,EpsilonGreedy
3,1.6341817942930768,EpsilonGreedy
3,5.17942141724178,EpsilonGreedy
3,3.7635155053975513,EpsilonGreedy
2,0.16517208600639766,EpsilonGreedy
3,3.2137295035020634,EpsilonGreedy
3,3.2252345898758126,EpsilonGreedy
3,4.45420520182143,EpsilonGreedy
3,2.2902003221102856,EpsilonGreedy
1,2.2238587404442924,EpsilonGreedy
3,3.9098596700374366,EpsilonGreedy
3,2.2710564461705016,EpsilonGreedy
3,2.4345794265664598,EpsilonGreedy
3,2.479542096626874,EpsilonGreedy
3,2.5179495585472167,EpsilonGreedy
3,2.60002381852607,EpsilonGreedy
3,3.2898912888781346,EpsilonGreedy
3,1.7550485913796918,EpsilonGreedy
3,2.351411186388718,EpsilonGreedy
2,1.604481467465984,EpsilonGreedy
3,4.8434700427217825,EpsilonGreedy
3,1.514588868163105,EpsilonGreedy
3,2.949275525986589,EpsilonGreedy
3,2.9794339295135672,EpsilonGreedy
3,3.914011642141097,EpsilonGreedy
3,3.6959975004661167,EpsilonGreedy
3,5.667060492597108,EpsilonGreedy
3,2.9469662407166344,EpsilonGreedy
3,2.8186515130517935,EpsilonGreedy
3,2.4540886290736563,EpsilonGreedy
3,2.176171983558695,EpsilonGreedy
3,2.6511229966839593,EpsilonGreedy
3,2.7509733038035815,EpsilonGreedy
3,3.660421115314779,EpsilonGreedy
3,4.067723803657001,EpsilonGreedy
3,3.787889201551836,EpsilonGreedy
3,4.267226519178501,EpsilonGreedy
3,3.5886341838203952,EpsilonGreedy
3,2.979421202246514,EpsilonGreedy
3,2.9230887646188384,EpsilonGreedy
3,6.07933469508311,EpsilonGreedy
3,2.104956773550711,EpsilonGreedy
3,2.5187317872001915,EpsilonGreedy
3,3.8958453583528128,EpsilonGreedy
3,3.6710816817388072,EpsilonGreedy
3,3.5106293548603644,EpsilonGreedy
3,1.2978134756583883,EpsilonGreedy
3,2.9531628037025013,EpsilonGreedy
3,2.4238891407578014,EpsilonGreedy
3,3.4531474189580096,EpsilonGreedy
3,2.6550146305703177,EpsilonGreedy
3,4.0678746946447335,EpsilonGreedy
3,2.665007234650376,EpsilonGreedy
3,4.118311275847997,EpsilonGreedy
3,4.8193475898590314,EpsilonGreedy
3,4.014412680329388,EpsilonGreedy
3,3.082384422783965,EpsilonGreedy
3,3.4579606053410243,EpsilonGreedy
3,2.952727093171553,EpsilonGreedy
3,4.464700798951552,EpsilonGreedy
3,2.84759108866994,EpsilonGreedy
3,3.2971647381228095,EpsilonGreedy
3,1.2913336812806602,EpsilonGreedy
3,3.6325748571752143,EpsilonGreedy
3,4.2745165838934644,EpsilonGreedy
3,2.362473389394803,EpsilonGreedy
3,2.856307007718139,EpsilonGreedy
3,1.5965625250001492,EpsilonGreedy
3,4.299656793168794,EpsilonGreedy
3,2.7801598404495307,EpsilonGreedy
3,3.908239727712391,EpsilonGreedy
3,2.894457195088771,EpsilonGreedy
3,2.913740197546525,EpsilonGreedy
3,4.672154254126074,EpsilonGreedy
3,2.622404773834183,EpsilonGreedy
3,2.7704729234071253,EpsilonGreedy
3,2.5994701607079023,EpsilonGreedy
3,3.0267890135612476,EpsilonGreedy
3,2.9537961943786195,EpsilonGreedy
3,1.706576243715284,EpsilonGreedy
3,5.015254274064041,EpsilonGreedy
3,4.164455428326527,EpsilonGreedy
3,3.9227504826299597,EpsilonGreedy
3,3.4791061389571967,EpsilonGreedy
3,4.465799006318401,EpsilonGreedy
